Year,Youth_Unemployment_Pct,GDP_Growth,University_Enrollment_K,FDI_Inflows_B_USD,Population_M,Internet_Users_Pct,Inflation_Rate
2005,12.5,5.9,89,0.21,35.6,3.1,9.9
2006,13.1,6.5,96,0.51,36.8,3.5,14.5
2007,13.8,7.0,107,0.73,37.7,8.0,9.8
2008,14.2,0.2,118,0.96,38.8,10.0,26.2
2009,14.9,3.3,135,0.14,39.8,14.0,9.2
2010,15.4,8.4,158,0.4,40.9,21.0,4.1
2011,15.8,6.1,182,0.34,42.0,28.0,14.0
2012,16.3,4.5,218,0.36,43.2,32.0,9.4
2013,16.8,4.9,252,0.51,44.4,39.0,5.7
2014,17.2,5.7,285,0.37,45.5,43.4,7.0
2015,17.5,5.4,311,0.99,46.7,45.0,6.9
2016,17.1,5.9,338,1.09,47.9,58.0,8.0
2017,16.6,4.9,362,1.44,49.2,67.3,6.3
2018,16.1,6.3,384,1.4,50.5,72.5,4.7
2019,15.5,-0.3,399,0.48,51.6,83.0,5.3
2020,15.1,7.5,412,0.7,53.0,85.1,6.1
2021,12.2,4.8,428,0.54,54.0,89.4,7.6
2022,15.5,5.0,445,0.47,55.1,90.2,9.2
2023,15.2,5.2,461,0.5,56.4,91.5,7.8
